ID,Gender,Age,FieldOfStudy,FieldOfStudy_Other,CourseLanguage,UseCollabTools,Teams,Zoom,GoogleWorkspace,Slack,Trello,Notion,Miro,Mural,GitHub,Monday,Asana,Jira,OtherCollaborationTools,UseOtherTools,UserFriendliness,Functionality,Integration,Scalability,Cost,PrivacySecurity,Reliability,Mobility,Customizability,Feedback,Accessibility,Reputation,ImpactOnCollaboration,ImpactOnOrganization,ImpactOnCoordination,ImpactOnCommunication,ImpactOnParticipation,ImpactOnMotivation,SatisfactionWithToolsVariety,EffectiveToolIntegration,AdequacyOfTraining,EffectivenessOfSupport,InvolvementInDecisionMaking,ChallengeTechnicalIssues,ChallengeFamiliarity,ChallengeCommunication,ChallengeEngagement,ChallengeOrganization,ChallengePrivacySecurity,ChallengeSupportTraining,OtherDifficulties,ImpactOnAcademicPerformance,AdditionalComments
124,Female,25-29,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Never,Weekly,Never,Several times a week,Never,Never,Never,Never,,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,,Very,
125,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Weekly,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Weekly,Padlet,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,,Slightly,
126,Female,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Moderately,
127,Female,25-29,Other,Applied Linguistics,Italian,Yes,Weekly,Less frequently,Daily,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,,Extremely,"Using these tools gives you more flexibility and ability to participate in more classes and/or events organized by your institution. Especially if, like me, you are a commuter and therefore also manage to save some money by not having to make the trip."
128,Other,20-24,"Science, Technology, Engineering and Mathematics",,English,Yes,Several times a week,Less frequently,Weekly,Never,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,,Very,
129,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Never,Daily,Never,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Male,30-34,Law,,(Swiss-)German,Yes,Less frequently,Less frequently,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Slightly,
131,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Never,Less frequently,Never,Several times a week,Never,Never,Less frequently,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,,Moderately,
132,Male,over 35 years,Other,Ergotherapie,(Swiss-)German,Yes,Several times a week,Weekly,Never,Never,Never,Several times a week,Less frequently,Never,Never,Never,Never,Never,Several times a week,Craft,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Sometimes,Rarely,Sometimes,Often,Often,Rarely,Rarely,Usability ,Not at all,Collaborative tools separates me physically from my study colleagues. That’s negative for my study performance 
133,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Weekly,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Less frequently,Webex,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Rarely,,Not at all,
134,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,,,,,,,,,,
136,Female,20-24,Social Sciences,,(Swiss-)German,Yes,Daily,Weekly,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Daily,"OneNote, Moodle",Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,,,
138,Male,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,,,
139,Female,20-24,Business and Economics,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Weekly,teams,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Sometimes,no,Moderately,
140,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Never,Less frequently,Never,Never,Never,Never,Never,Several times a week,Never,Never,Never,Several times a week,Discord,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,,,,,,,,,,
142,Male,25-29,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Never,Never,Never,Never,Never,Never,Never,Several times a week,Never,Never,Never,Daily,"Moodle, Discord, WhatsApp and Signal (Moodle used by the teachers to give us information and documents. Discord, WhatsApp and Signal used between the students)",Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Sometimes,Sometimes,Never,Never,Never,Never,Never,,Very,"In my oppinion, the biggest impact of collaboration tools on my studies is, that students can share information and even sollutions to exercises really well. (The students can sometimes become more or less a hive mind)"
143,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,,Moderately,
144,Female,25-29,Other,Health,(Swiss-)German,Yes,Daily,Less frequently,Several times a week,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Less frequently,Mentimeter,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,,Moderately,
145,Female,over 35 years,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Weekly,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Rarely,Sometimes,Often,Often,Rarely,Sometimes,Often,,Moderately,
147,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,Onedrive,Strongly Agree,Agree,Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly disagree,Rarely,Never,Sometimes,Sometimes,Often,Rarely,Never,,Very,
148,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Less frequently,Webex (ganz selten),Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Keine die mir gerade einfallen.,Very,
149,Female,25-29,Social Sciences,,(Swiss-)German,Yes,Weekly,Weekly,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly disagree,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,,Moderately,
151,Female,25-29,Social Sciences,,(Swiss-)German,Yes,Less frequently,Several times a week,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Less frequently,"Miro, AI, ",Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,,Slightly,
152,Male,25-29,Life Sciences and Medicine,,English,Yes,Several times a week,Weekly,Never,Never,Never,Several times a week,Never,Never,Daily,Never,Never,Never,Never,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Very often,Often,Very often,Often,Sometimes,Very often,Often,,Moderately,
153,Female,20-24,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Sometimes,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,,Very,
154,Male,30-34,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Rarely,,Moderately,
155,Female,20-24,Other,Social Work,(Swiss-)German,Yes,Weekly,Weekly,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Never,mentimeter,Neutral,Agree,Agree,Strongly Agree,Strongly disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Rarely,Sometimes,Very often,Sometimes,Never,Rarely,Sometimes,"audio blocks out multiple people speaking, leads to difficulties in discussions and a lack of flow when talking to each other",Moderately,
156,Female,20-24,Business and Economics,,(Swiss-)German,Yes,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,not really,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,-,Not at all,
157,Other,20-24,Communication and Media Studies,,(Swiss-)German,Yes,Several times a week,Less frequently,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Several times a week,Discord,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly disagree,Neutral,Neutral,Very often,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,,Very,
158,Male,30-34,Business and Economics,,(Swiss-)German,Yes,Several times a week,Several times a week,Several times a week,Several times a week,Less frequently,Never,Less frequently,Less frequently,Less frequently,Less frequently,Never,Never,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Never,Never,Rarely,Never,Rarely,Never,,Extremely,
159,Male,25-29,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Rarely,Never,Rarely,Never,Never,Never,Never,"Just teachers, which do not stream their courses. It should be the normalty.",Very,Yeah make it normal for teachers to stream their courses.
160,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Several times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,,Moderately,
162,Female,20-24,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Never,Never,Never,Never,Several times a week,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Male,over 35 years,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Several times a week,Less frequently,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Never,,Disagree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Sometimes,Very often,Sometimes,Often,Never,Often,Sometimes,"too much technology kills the effectiveness for interdisciplinary exchanges - transformation process lives through real communication - to depended on electronic devices - not very sustainable though (side effects - electricity / eyes / sleep = weighting of interests (Güterabwägung) - too much PPT's with unimportant messages (text, logo, pictures etc.) - a short and compact script is sufficient instead tons of PPT's with lots of space and similar structures (similarities are more difficult to memorize) - I might be old school, but this is how it is in our time now - personal thoughts! The best would be a balanced mix and short compact PPT's ...",Moderately,"I would wish to have a better balance between classical learning approach and modern approach (for elderly students like me I should focus on the content of the study and not struggling and investing time to find out how electronic devices and tools are working! It's incredible time consuming to align everything while others are very familiar with devices and tools. But, I have learned a lot since September 2023 and I am happy to improve constantly! Thanks for the survey! "
164,Female,25-29,Social Sciences,,(Swiss-)German,Yes,Weekly,Weekly,Several times a week,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,,,,,,,,,,,,,,,
165,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,Daily,Whatsapp,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Rarely,Sometimes,Sometimes,Very often,Sometimes,Never,Sometimes,,Moderately,
166,Female,over 35 years,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Less frequently,Less frequently,Less frequently,Never,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Padlet,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Strongly disagree,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,,Moderately,
167,Female,20-24,Other,IT & economy ,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Daily,Never,Never,Less frequently,Never,Never,Never,Several times a week,One Note,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Never,Rarely,Sometimes,Sometimes,Often,Rarely,Sometimes,working on one file with everybody at once,Moderately,teams for example us rarely used but i use notion for my self a lot and it really increased my learning progress. but not really bcs of collaboration 
168,Male,25-29,Other,Wirtschaftsinformatik ,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Less frequently,Never,Less frequently,Weekly,Never,Never,Never,,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Rarely,,Moderately,
169,Male,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Less frequently,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Several times a week,"moodle, eventoweb",Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly disagree,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,no,Moderately,-
170,Female,25-29,Business and Economics,,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Weekly,Weekly,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,Sometimes,,Moderately,
171,Male,25-29,Life Sciences and Medicine,,English,Yes,Daily,Weekly,Less frequently,Never,Never,Never,Less frequently,Never,Never,Less frequently,Never,Never,Never,,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Rarely,Rarely,Sometimes,Often,Rarely,Never,Never,,Very,
172,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Weekly,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,
173,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Daily,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Daily,Moodle,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,,Moderately,
174,Female,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Less frequently,mentimeter,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,,,,,,,,,,,,,,,,,,,,,
175,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Weekly,Less frequently,Never,Never,Less frequently,Less frequently,Never,Never,Never,Never,Never,Daily,OneDrive Microsoft (shared Word) ,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Sometimes,Rarely,Very often,Very often,Rarely,Rarely,Rarely,,Not at all,
176,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Never,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Never,,Moderately,
177,Male,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Weekly,Daily,Never,Never,Never,Daily,Never,Never,Never,Less frequently,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly disagree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,,Very,
178,Female,over 35 years,Life Sciences and Medicine,,English,Yes,Weekly,Less frequently,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Sometimes,Very often,Often,Sometimes,Rarely,Often,Very often,,Not at all,
179,Female,over 35 years,Education,,(Swiss-)German,Yes,Weekly,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,,Moderately,
180,Female,20-24,Other,Health care,(Swiss-)German,Yes,Daily,Never,Several times a week,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Rarely,Rarely,Never,Sometimes,Often,Rarely,Sometimes,,Very,
181,Male,20-24,Communication and Media Studies,,(Swiss-)German,Yes,Weekly,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,,,,,,,,,,
182,Female,over 35 years,Communication and Media Studies,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,Moodle (daily),Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Strongly disagree,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Never,,Moderately,
